pair,word_x,word_y,scores,qtype
vodka-brandy,vodka,brandy,"[6.0, 8.0, 7.0, 7.0, 7.0, 8.0, 10.0, 2.0, 4.0, 7.0, 6.0, 5.0, 9.0, 9.0, 8.0, 7.0, 4.0, 9.0, 8.0, 6.0, 7.0, 8.0, 8.0, 5.0, 9.0, 8.0, 7.0, 8.0, 6.0, 9.0, 8.0, 7.0, 2.0, 9.0, 7.0, 7.0, 8.0, 5.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 7.0, 7.0, 10.0, 5.0, 9.0]",sim
type-kind,type,kind,"[10.0, 9.0, 8.0, 8.0, 2.0, 10.0, 10.0, 10.0, 0.0, 0.0, 8.0, 7.0, 5.0, 9.5, 0.0, 9.5, 7.0, 5.0, 8.0, 9.0, 5.0, 1.0, 10.0, 10.0, 10.0, 5.0, 8.0, 9.0, 9.0, 10.0, 10.0, 8.0, 10.0, 10.0, 9.0, 8.0, 10.0, 10.0, 9.0, 9.0, 10.0, 9.0, 6.0, 9.0, 8.0, 5.0, 5.0, 10.0, 0.0, 10.0]",sim
tool-implement,tool,implement,"[10.0, 9.0, 7.0, 5.5, 7.0, 6.0, 7.0, 4.0, 6.0, 3.0, 8.0, 6.0, 6.0, 9.5, 4.0, 2.0, 6.0, 6.0, 0.0, 7.0, 4.0, 4.0, 10.0, 6.0, 8.0, 8.0, 8.0, 6.0, 4.5, 4.0, 9.0, 5.0, 2.0, 9.0, 8.0, 6.0, 1.0, 0.0, 8.0, 8.0, 10.0, 5.0, 6.0, 7.0, 6.0, 7.0, 3.0, 8.0, 6.0, 8.5]",sim
tiger-fauna,tiger,fauna,"[7.0, 4.0, 2.0, 1.0, 6.0, 0.0, 10.0, 1.0, 0.0, 0.0, 5.0, 6.0, 0.0, 2.0, 6.0, 0.0, 1.0, 1.0, 4.0, 0.0, 8.0, 1.0, 0.0, 0.0, 5.0, 10.0, 6.0, 0.0, 4.5, 8.0, 3.0, 1.0, 7.0, 8.0, 9.0, 10.0, 0.0, 0.0, 5.0, 4.0, 1.0, 3.0, 6.0, 5.0, 6.0, 6.0, 8.0, 1.0, 0.0, 0.0]",sim
tennis-racket,tennis,racket,"[4.0, 8.0, 9.0, 8.5, 9.0, 5.0, 10.0, 10.0, 8.0, 10.0, 4.0, 10.0, 10.0, 7.0, 5.0, 8.0, 8.0, 9.0, 2.0, 7.0, 8.0, 6.0, 9.0, 5.0, 9.0, 10.0, 6.0, 9.0, 6.5, 9.0, 9.0, 9.0, 8.0, 9.0, 9.5, 8.0, 9.0, 4.0, 10.0, 6.0, 8.0, 9.0, 10.0, 9.0, 7.0, 9.0, 7.0, 10.0, 8.0, 10.0]",sim
summer-drought,summer,drought,"[0.0, 4.0, 6.0, 6.0, 7.0, 2.0, 10.0, 8.0, 4.0, 3.0, 4.0, 9.0, 6.0, 4.0, 7.0, 5.0, 7.0, 5.5, 0.0, 5.0, 5.0, 3.0, 8.0, 5.0, 7.0, 7.0, 3.0, 6.0, 6.5, 0.0, 6.0, 6.0, 0.0, 8.0, 9.0, 5.0, 1.0, 0.0, 8.0, 6.0, 4.0, 7.0, 6.0, 6.0, 7.0, 5.0, 6.0, 9.0, 8.0, 2.5]",sim
stock-jaguar,stock,jaguar,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 3.0, 1.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0]",sim
size-prominence,size,prominence,"[6.0, 9.0, 7.0, 3.5, 7.0, 5.0, 5.0, 7.0, 0.0, 0.0, 6.0, 4.0, 8.0, 8.0, 2.0, 5.0, 5.0, 5.0, 1.0, 8.0, 3.0, 5.0, 7.0, 2.0, 10.0, 8.0, 5.0, 8.0, 4.0, 5.0, 4.0, 8.0, 9.0, 8.0, 7.0, 7.0, 9.0, 5.0, 8.0, 8.0, 8.0, 7.0, 6.0, 9.0, 6.0, 7.0, 5.0, 8.0, 4.0, 7.5]",sim
situation-isolation,situation,isolation,"[0.0, 2.0, 1.0, 6.5, 1.0, 0.0, 9.0, 0.0, 2.0, 0.0, 3.0, 5.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5.0, 0.0, 0.0, 1.0, 0.0, 4.5, 5.0, 2.0, 2.0, 0.0, 0.0, 7.0, 3.0, 3.0, 0.0, 3.0, 3.0, 1.0, 2.0, 5.0, 3.0, 3.0, 5.0, 1.0, 2.0, 3.0, 0.0]",sim
shower-thunderstorm,shower,thunderstorm,"[4.0, 2.0, 6.0, 7.0, 7.0, 10.0, 10.0, 6.0, 9.0, 0.0, 7.0, 0.0, 9.0, 7.5, 8.0, 7.5, 6.0, 2.0, 2.0, 8.0, 3.0, 5.0, 8.0, 10.0, 5.0, 9.0, 6.0, 7.0, 6.5, 6.0, 6.0, 6.0, 4.0, 8.0, 7.5, 6.0, 8.0, 0.0, 8.0, 8.0, 8.0, 7.0, 6.0, 8.0, 7.0, 8.0, 1.0, 10.0, 7.0, 5.0]",sim
psychology-science,psychology,science,"[3.0, 4.0, 7.0, 7.5, 4.0, 8.0, 2.0, 4.0, 10.0, 8.0, 4.0, 6.0, 8.0, 7.0, 6.0, 7.0, 8.0, 2.5, 6.0, 8.0, 5.0, 8.0, 3.0, 2.0, 8.0, 6.0, 2.0, 9.0, 5.5, 5.0, 8.0, 4.0, 8.0, 7.0, 8.0, 9.0, 5.0, 3.0, 4.0, 6.0, 5.0, 7.0, 6.0, 9.0, 8.0, 6.0, 9.0, 3.0, 0.0, 9.0]",sim
psychology-discipline,psychology,discipline,"[1.0, 6.0, 6.0, 4.0, 5.0, 4.0, 4.0, 3.0, 0.0, 0.0, 6.0, 5.0, 8.0, 6.0, 3.0, 0.0, 5.0, 3.0, 0.0, 4.0, 0.0, 2.0, 6.0, 2.0, 5.0, 3.0, 3.0, 6.0, 5.5, 5.0, 8.0, 5.0, 8.0, 5.0, 8.0, 5.0, 9.0, 2.0, 9.0, 6.0, 6.0, 6.0, 4.0, 5.0, 5.0, 7.0, 7.0, 9.0, 1.0, 4.0]",sim
preservation-world,preservation,world,"[0.0, 4.0, 4.0, 5.5, 3.0, 0.0, 10.0, 3.0, 0.0, 0.0, 1.0, 5.0, 8.0, 6.0, 5.0, 6.0, 5.0, 2.0, 0.0, 4.0, 4.0, 1.0, 6.0, 6.0, 0.0, 0.0, 9.0, 2.0, 3.0, 4.0, 7.0, 4.0, 3.0, 5.0, 8.0, 7.0, 3.0, 0.0, 9.0, 3.0, 5.0, 4.0, 5.0, 4.0, 4.0, 7.0, 7.0, 8.0, 5.0, 6.0]",sim
precedent-information,precedent,information,"[1.0, 5.0, 6.0, 4.0, 7.0, 4.0, 9.0, 4.0, 0.0, 0.0, 3.0, 5.0, 7.0, 1.0, 2.0, 3.0, 3.0, 4.5, 0.0, 7.0, 2.0, 1.0, 7.0, 3.0, 5.0, 8.0, 3.0, 4.0, 4.5, 5.0, 6.0, 8.0, 5.0, 8.0, 8.0, 5.0, 1.0, 2.0, 7.0, 5.0, 6.0, 3.0, 7.0, 4.0, 3.0, 7.0, 7.0, 8.0, 2.0, 8.0]",sim
precedent-example,precedent,example,"[5.0, 6.0, 8.0, 3.0, 6.0, 10.0, 8.0, 4.0, 10.0, 0.0, 8.0, 9.0, 6.0, 9.0, 9.0, 7.0, 7.0, 7.0, 1.0, 7.0, 6.0, 3.0, 10.0, 5.0, 0.0, 3.0, 8.0, 4.0, 8.5, 4.0, 9.5, 5.0, 9.0, 3.0, 10.0, 3.0, 7.0, 0.0, 9.0, 8.0, 7.0, 3.0, 6.0, 9.0, 7.0, 6.0, 9.0, 7.0, 2.0, 10.0]",sim
planet-sun,planet,sun,"[8.0, 8.0, 6.0, 7.5, 4.0, 9.0, 10.0, 7.0, 5.0, 0.0, 6.0, 10.0, 9.0, 6.5, 8.0, 9.0, 9.0, 8.0, 0.0, 9.0, 3.0, 8.0, 9.0, 10.0, 8.0, 0.0, 3.0, 9.0, 7.0, 9.0, 7.0, 7.0, 10.0, 8.0, 4.5, 7.0, 9.0, 4.0, 9.0, 6.0, 8.0, 8.0, 8.0, 9.0, 8.0, 8.0, 5.0, 10.0, 5.0, 10.0]",sim
physics-chemistry,physics,chemistry,"[1.0, 8.0, 6.0, 4.5, 8.0, 10.0, 1.0, 4.0, 10.0, 7.0, 6.0, 7.0, 10.0, 9.0, 7.0, 5.0, 8.0, 6.5, 3.0, 7.0, 7.0, 5.0, 5.0, 10.0, 7.0, 7.0, 8.0, 7.0, 3.5, 7.0, 9.0, 7.0, 3.0, 9.0, 8.0, 7.0, 8.0, 2.0, 8.0, 7.0, 8.0, 9.0, 5.0, 7.0, 8.0, 8.0, 6.0, 10.0, 6.0, 9.0]",sim
peace-plan,peace,plan,"[0.0, 4.0, 6.0, 4.0, 4.0, 3.0, 10.0, 7.0, 2.0, 0.0, 3.0, 2.0, 7.0, 7.0, 5.0, 2.0, 8.0, 4.0, 0.0, 8.0, 2.0, 1.0, 5.0, 1.0, 2.0, 5.0, 3.0, 6.0, 3.0, 4.0, 5.0, 6.0, 6.0, 1.0, 7.5, 7.0, 5.0, 0.0, 8.0, 6.0, 5.5, 8.0, 8.0, 3.0, 4.0, 5.0, 5.0, 6.0, 0.0, 2.0]",sim
peace-insurance,peace,insurance,"[0.0, 4.0, 0.0, 2.0, 2.0, 2.0, 1.0, 0.0, 4.0, 0.0, 1.0, 4.0, 0.0, 0.5, 2.0, 0.0, 1.0, 2.0, 0.0, 1.0, 3.0, 1.0, 1.0, 5.0, 0.0, 0.0, 1.0, 0.0, 2.5, 5.0, 3.0, 2.0, 9.0, 2.0, 7.0, 6.0, 1.0, 0.0, 8.0, 4.0, 0.0, 3.0, 4.0, 1.0, 4.0, 5.0, 3.0, 1.0, 5.0, 2.0]",sim
observation-architecture,observation,architecture,"[0.0, 5.0, 4.0, 4.5, 3.0, 0.0, 5.0, 1.0, 0.0, 0.0, 2.0, 6.0, 3.0, 3.0, 0.0, 3.0, 1.0, 0.0, 0.0, 5.0, 2.0, 1.0, 3.0, 6.0, 5.0, 4.0, 2.0, 6.0, 3.0, 4.0, 2.0, 2.0, 6.0, 2.0, 7.0, 5.0, 1.0, 0.0, 5.0, 4.0, 1.0, 4.0, 7.0, 3.0, 3.0, 5.0, 0.0, 1.0, 0.0, 2.0]",sim
news-report,news,report,"[5.0, 8.0, 7.0, 8.0, 7.0, 10.0, 10.0, 7.0, 10.0, 9.0, 6.0, 9.0, 10.0, 9.0, 5.0, 8.5, 6.0, 6.0, 8.0, 10.0, 7.0, 8.0, 9.0, 10.0, 8.0, 9.0, 6.0, 8.0, 6.5, 8.0, 8.5, 8.0, 8.0, 9.0, 8.5, 9.0, 7.0, 7.0, 10.0, 8.0, 8.0, 8.0, 7.0, 9.0, 7.0, 7.0, 10.0, 8.0, 7.0, 9.0]",sim
movie-theater,movie,theater,"[2.0, 6.0, 9.0, 8.5, 9.0, 8.0, 10.0, 8.0, 10.0, 9.0, 8.0, 10.0, 10.0, 9.0, 9.0, 7.0, 9.0, 8.75, 4.0, 10.0, 8.0, 7.0, 9.0, 10.0, 8.0, 10.0, 7.0, 8.0, 7.0, 7.0, 8.5, 9.0, 1.0, 8.0, 8.0, 10.0, 7.0, 8.0, 10.0, 7.0, 8.0, 9.0, 5.0, 8.0, 8.0, 8.0, 9.0, 10.0, 7.0, 9.0]",sim
money-wealth,money,wealth,"[10.0, 9.0, 10.0, 9.0, 9.0, 10.0, 10.0, 9.0, 10.0, 10.0, 9.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.75, 8.0, 9.0, 9.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 9.0, 6.0, 8.0, 7.0, 9.0, 10.0, 9.0, 10.0, 10.0, 9.0, 4.0, 10.0, 8.0, 8.0, 9.0, 8.0, 9.0, 9.0, 9.0, 10.0, 10.0, 9.0, 10.0]",sim
money-possession,money,possession,"[2.0, 7.0, 7.0, 6.5, 8.0, 9.0, 2.0, 5.0, 4.0, 0.0, 7.0, 9.0, 5.0, 8.0, 9.0, 8.0, 8.0, 7.0, 7.0, 8.0, 5.0, 3.0, 7.0, 6.0, 8.0, 10.0, 5.0, 7.0, 5.0, 8.0, 5.0, 6.0, 8.0, 8.0, 9.0, 9.0, 7.0, 0.0, 10.0, 3.0, 8.0, 6.0, 8.0, 9.0, 8.0, 8.0, 8.0, 8.0, 7.0, 8.0]",sim
money-currency,money,currency,"[9.0, 10.0, 10.0, 9.5, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 8.0, 10.0, 10.0, 9.5, 10.0, 9.0, 10.0, 10.0, 9.0, 10.0, 8.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 7.5, 10.0, 10.0, 8.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 9.0, 10.0, 9.0, 9.0, 8.0, 10.0, 10.0, 8.0, 10.0]",sim
minority-peace,minority,peace,"[0.0, 5.0, 1.0, 4.5, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 5.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 4.0, 0.0, 4.5, 3.0, 2.0, 1.0, 0.0, 0.0, 7.0, 3.0, 1.0, 0.0, 5.0, 3.0, 1.0, 3.0, 6.0, 5.0, 3.0, 4.0, 0.0, 1.0, 0.0, 0.0]",sim
mile-kilometer,mile,kilometer,"[9.0, 9.0, 9.0, 7.0, 9.0, 10.0, 10.0, 7.0, 10.0, 9.0, 7.0, 9.0, 5.0, 9.0, 8.0, 6.0, 10.0, 8.0, 6.0, 9.0, 7.0, 7.0, 9.0, 10.0, 5.0, 9.0, 8.0, 7.0, 7.0, 9.0, 8.5, 8.0, 6.0, 9.0, 8.0, 8.0, 9.0, 4.0, 9.0, 7.0, 9.0, 9.0, 6.0, 9.0, 8.0, 9.0, 8.0, 9.0, 5.0, 10.0]",sim
media-gain,media,gain,"[0.0, 3.0, 1.0, 2.0, 2.0, 0.0, 8.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 6.0, 0.0, 0.0, 5.0, 3.0, 1.0, 3.0, 3.0, 0.0, 2.0, 0.0, 0.0, 6.5, 2.0, 1.0, 0.0, 4.0, 2.0, 0.0, 2.0, 7.0, 5.0, 4.0, 4.0, 3.0, 1.0, 0.0, 0.0]",sim
magician-wizard,magician,wizard,"[9.0, 6.0, 8.0, 5.0, 8.0, 10.0, 0.0, 7.0, 10.0, 5.5, 8.0, 6.0, 10.0, 9.0, 9.0, 9.5, 9.0, 4.0, 9.0, 10.0, 9.0, 9.0, 9.0, 10.0, 8.0, 8.0, 8.0, 8.0, 9.5, 6.0, 9.5, 7.0, 10.0, 9.0, 7.5, 7.0, 9.0, 7.0, 9.0, 7.0, 9.0, 8.0, 10.0, 9.0, 9.0, 8.0, 7.0, 10.0, 7.0, 9.5]",sim
life-lesson,life,lesson,"[7.0, 6.0, 6.0, 6.0, 5.0, 0.0, 10.0, 0.0, 4.0, 0.0, 2.0, 5.0, 7.0, 5.0, 7.0, 6.5, 8.0, 0.0, 0.0, 8.0, 3.0, 1.0, 8.0, 8.0, 5.0, 8.0, 9.0, 5.0, 5.5, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 6.0, 8.0, 0.0, 9.0, 5.0, 6.0, 5.0, 7.0, 6.0, 4.0, 6.0, 5.0, 6.0, 5.0, 5.0]",sim
lawyer-evidence,lawyer,evidence,"[0.0, 6.0, 5.0, 8.5, 6.0, 7.0, 10.0, 9.0, 6.0, 8.5, 5.0, 8.0, 10.0, 8.0, 5.0, 8.0, 8.0, 8.0, 3.0, 8.0, 4.0, 6.0, 8.0, 10.0, 8.0, 10.0, 6.0, 8.0, 6.5, 8.0, 8.5, 8.0, 5.0, 7.0, 9.0, 8.0, 9.0, 3.0, 9.0, 7.0, 7.0, 8.0, 9.0, 8.0, 7.0, 8.0, 6.0, 9.0, 7.0, 9.0]",sim
grocery-money,grocery,money,"[0.0, 6.0, 3.0, 3.0, 3.0, 1.0, 10.0, 4.0, 4.0, 0.0, 3.0, 7.0, 7.0, 5.0, 3.0, 6.0, 6.0, 3.0, 0.0, 2.0, 3.0, 2.0, 7.0, 7.0, 5.0, 3.0, 3.0, 3.0, 5.5, 5.0, 4.0, 2.0, 2.0, 3.0, 6.5, 6.0, 1.0, 0.0, 9.0, 3.0, 5.0, 3.0, 8.0, 6.0, 6.0, 6.0, 4.0, 9.0, 4.0, 0.0]",sim
government-crisis,government,crisis,"[0.0, 4.0, 4.0, 5.0, 3.0, 0.0, 10.0, 6.0, 0.0, 0.0, 2.0, 4.0, 3.0, 5.0, 4.0, 6.0, 3.0, 1.0, 0.0, 4.0, 2.0, 4.0, 7.0, 3.0, 1.0, 5.0, 4.0, 2.0, 5.5, 5.0, 6.0, 4.0, 0.0, 9.0, 6.0, 8.0, 5.0, 0.0, 5.0, 5.0, 5.0, 4.0, 6.0, 5.0, 6.0, 4.0, 6.0, 2.0, 4.0, 0.0]",sim
fertility-egg,fertility,egg,"[2.0, 8.0, 8.0, 9.0, 5.0, 8.0, 8.0, 8.0, 7.0, 9.0, 4.0, 10.0, 10.0, 6.5, 6.0, 7.0, 8.0, 7.0, 6.0, 9.0, 6.0, 8.0, 8.0, 10.0, 7.0, 10.0, 5.0, 6.0, 6.5, 8.0, 7.5, 9.0, 4.0, 8.0, 9.0, 8.0, 9.0, 3.0, 9.0, 7.0, 7.0, 7.0, 8.0, 7.0, 5.0, 9.0, 9.0, 9.0, 7.0, 9.0]",sim
dollar-loss,dollar,loss,"[0.0, 4.0, 4.0, 2.0, 3.0, 1.0, 10.0, 4.0, 0.0, 0.0, 2.0, 2.0, 5.0, 4.0, 0.0, 2.0, 2.0, 3.0, 1.0, 6.0, 4.0, 1.0, 6.0, 0.0, 3.0, 7.0, 2.0, 5.0, 4.5, 5.0, 2.0, 3.0, 0.0, 8.0, 8.0, 4.0, 2.0, 0.0, 2.0, 5.0, 3.0, 5.0, 6.0, 5.0, 3.0, 6.0, 5.0, 2.0, 4.0, 1.0]",sim
doctor-personnel,doctor,personnel,"[3.0, 6.0, 4.0, 2.0, 2.0, 6.0, 7.0, 3.0, 2.0, 0.0, 3.0, 6.0, 8.0, 3.0, 5.0, 6.0, 3.0, 1.0, 0.0, 7.0, 6.0, 5.0, 2.0, 5.0, 5.0, 8.0, 6.0, 7.0, 4.5, 6.0, 5.0, 3.0, 3.0, 6.0, 8.0, 5.0, 9.0, 3.0, 6.0, 6.0, 4.0, 3.0, 5.0, 6.0, 4.0, 5.0, 5.0, 7.0, 4.0, 3.0]",sim
doctor-liability,doctor,liability,"[0.0, 3.0, 6.0, 3.0, 5.0, 3.0, 8.0, 4.0, 0.0, 5.5, 4.0, 2.0, 6.0, 3.5, 3.0, 7.0, 7.0, 5.0, 0.0, 2.0, 5.0, 6.0, 7.0, 10.0, 5.0, 6.0, 1.0, 6.0, 2.0, 2.0, 6.0, 5.0, 0.0, 3.0, 8.5, 7.0, 8.0, 0.0, 7.0, 0.0, 6.0, 2.0, 7.5, 5.0, 4.0, 7.0, 2.0, 4.0, 5.0, 3.0]",sim
dividend-calculation,dividend,calculation,"[0.0, 7.0, 7.0, 4.5, 4.0, 3.0, 9.0, 2.0, 0.0, 5.0, 3.0, 9.0, 9.0, 6.0, 5.0, 3.0, 5.0, 4.0, 0.0, 8.0, 2.0, 5.0, 8.0, 5.0, 5.0, 5.0, 6.0, 5.0, 6.0, 8.0, 7.0, 3.0, 2.0, 8.0, 8.5, 6.0, 6.0, 4.0, 8.0, 5.0, 5.0, 7.0, 5.0, 6.0, 4.0, 8.0, 7.0, 10.0, 8.0, 6.0]",sim
currency-market,currency,market,"[1.0, 7.0, 7.0, 7.5, 6.0, 3.0, 10.0, 10.0, 4.0, 8.0, 4.0, 8.0, 8.0, 7.0, 6.0, 1.0, 6.0, 3.5, 1.0, 8.0, 6.0, 5.0, 8.0, 8.0, 8.0, 6.0, 7.0, 6.0, 5.5, 7.0, 7.0, 6.0, 4.0, 8.0, 9.0, 7.0, 8.0, 7.0, 9.0, 6.0, 7.0, 7.0, 9.0, 6.0, 7.0, 7.0, 7.0, 7.0, 6.0, 7.0]",sim
cup-food,cup,food,"[1.0, 5.0, 3.0, 2.0, 4.0, 0.0, 0.0, 0.0, 4.0, 0.0, 2.0, 3.0, 6.0, 2.0, 3.0, 2.0, 6.0, 4.0, 0.0, 3.0, 3.0, 3.0, 5.0, 1.0, 3.0, 1.0, 6.0, 3.0, 3.5, 4.0, 6.0, 5.0, 0.0, 0.0, 3.0, 6.0, 1.0, 1.0, 4.0, 2.0, 6.0, 2.0, 5.0, 5.0, 4.0, 6.0, 4.0, 6.0, 3.0, 3.0]",sim
cup-entity,cup,entity,"[0.0, 2.0, 0.0, 2.0, 2.0, 9.0, 1.0, 2.0, 0.0, 0.0, 5.0, 0.0, 6.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 2.0, 7.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4.5, 4.0, 3.0, 1.0, 0.0, 0.0, 7.0, 0.0, 3.0, 3.0, 8.0, 5.0, 0.0, 3.0, 5.0, 5.0, 3.0, 2.0, 3.0, 3.0, 0.0, 0.0]",sim
cup-artifact,cup,artifact,"[1.0, 3.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 0.0, 2.0, 10.0, 7.0, 2.0, 3.0, 1.0, 1.0, 0.0, 0.0, 7.0, 3.0, 1.0, 2.0, 1.0, 2.0, 8.0, 3.0, 3.0, 4.5, 3.0, 5.0, 2.0, 0.0, 6.0, 9.0, 1.0, 5.0, 0.0, 5.0, 4.0, 5.0, 3.0, 4.0, 5.0, 3.0, 5.0, 4.0, 1.0, 0.0, 1.0]",sim
credit-card,credit,card,"[0.0, 6.0, 6.0, 9.0, 8.0, 7.0, 10.0, 6.0, 6.0, 7.0, 6.0, 9.0, 10.0, 6.0, 7.0, 5.0, 8.0, 2.0, 0.0, 9.0, 5.0, 6.0, 9.0, 10.0, 8.0, 8.0, 5.0, 7.0, 6.5, 6.0, 8.0, 10.0, 0.0, 9.0, 8.0, 7.0, 5.0, 6.0, 8.0, 7.0, 6.0, 4.0, 10.0, 7.0, 6.0, 7.0, 9.0, 8.0, 5.0, 2.0]",sim
coast-forest,coast,forest,"[0.0, 7.0, 0.0, 1.0, 2.0, 6.0, 0.0, 3.0, 0.0, 0.0, 3.0, 5.0, 3.0, 5.0, 5.0, 7.0, 2.0, 2.0, 0.0, 1.0, 0.0, 4.0, 6.0, 5.0, 5.0, 9.0, 4.0, 6.0, 3.0, 2.0, 7.0, 3.0, 0.0, 4.0, 6.0, 0.0, 0.0, 0.0, 7.0, 2.0, 6.0, 6.0, 5.0, 1.0, 4.0, 7.0, 5.0, 1.0, 5.0, 3.0]",sim
chance-credibility,chance,credibility,"[0.0, 7.0, 2.0, 4.0, 5.0, 2.0, 7.0, 0.0, 0.0, 0.0, 3.0, 5.0, 5.0, 5.0, 2.0, 0.0, 0.0, 3.0, 0.0, 5.0, 0.0, 1.0, 3.0, 3.0, 5.0, 8.0, 3.0, 7.0, 8.5, 3.0, 3.0, 1.0, 3.0, 3.0, 6.5, 5.0, 2.0, 2.0, 7.0, 4.0, 0.0, 4.0, 7.0, 6.0, 6.0, 5.0, 2.0, 7.0, 4.0, 0.0]",sim
bird-crane,bird,crane,"[9.0, 10.0, 9.0, 9.5, 7.0, 10.0, 10.0, 7.0, 10.0, 7.0, 9.0, 0.0, 9.0, 9.0, 9.0, 7.5, 8.0, 0.0, 9.0, 10.0, 9.0, 9.0, 9.0, 10.0, 8.0, 10.0, 7.0, 9.0, 7.5, 9.0, 7.5, 9.0, 7.0, 9.0, 10.0, 8.0, 5.0, 7.0, 2.0, 8.0, 8.0, 9.0, 5.0, 7.0, 6.0, 9.0, 9.0, 10.0, 6.0, 10.0]",sim
baseball-season,baseball,season,"[0.0, 6.0, 5.0, 6.0, 2.0, 6.0, 10.0, 4.0, 4.0, 0.0, 3.0, 0.0, 9.0, 6.0, 5.0, 4.0, 5.0, 6.5, 0.0, 6.0, 5.0, 3.0, 7.0, 8.0, 5.0, 4.0, 6.0, 3.0, 5.0, 4.0, 5.0, 7.0, 0.0, 4.0, 8.0, 7.0, 1.0, 0.0, 9.0, 4.0, 4.0, 3.0, 8.0, 7.0, 4.0, 7.0, 8.0, 8.0, 3.0, 0.0]",sim
Wednesday-news,Wednesday,news,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 3.0, 1.0, 1.0, 3.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 5.0, 1.0, 0.0, 3.0, 4.0, 1.0, 2.0, 4.0, 1.0, 1.0, 0.0, 0.0]",sim
OPEC-oil,OPEC,oil,"[5.0, 7.0, 5.0, 0.0, 7.0, 9.0, 3.0, 0.0, 0.0, 8.5, 6.0, 9.0, 5.0, 9.0, 10.0, 6.0, 9.0, 9.0, 2.0, 9.0, 8.0, 7.0, 9.0, 10.0, 10.0, 10.0, 7.0, 8.0, 6.0, 10.0, 7.5, 8.0, 3.0, 9.0, 9.0, 5.0, 9.0, 0.0, 9.0, 5.0, 8.0, 9.0, 2.0, 9.0, 7.0, 9.0, 8.0, 10.0, 8.0, 10.0]",sim
Arafat-peace,Arafat,peace,"[0.0, 5.0, 3.0, 4.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 10.0, 3.0, 8.0, 3.0, 0.0, 8.0, 5.0, 0.0, 6.0, 4.0, 0.0, 3.0, 0.0, 5.0, 4.0, 3.0, 0.0, 3.0, 4.0, 6.0, 5.0, 1.0, 5.0, 8.0, 5.0, 5.0, 0.0, 5.0, 1.0, 5.0, 5.0, 5.0, 2.0, 3.0, 3.0, 4.0, 6.0, 0.0, 5.0]",sim
yen-dollar,yen,dollar,"[9.0, 6.0, 9.0, 5.0, 8.0, 9.0, 2.0, 7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 8.0, 9.0, 10.0, 10.0, 9.0, 8.0, 8.0, 0.0, 8.0, 8.0, 7.0, 8.0, 9.0, 5.0, 6.0, 8.0, 8.0, 7.0, 9.0, 8.0, 8.0, 8.0, 7.0, 9.5, 10.0, 1.0, 10.0, 9.0, 8.0, 10.0, 10.0, 8.0, 8.0, 1.0, 8.0, 6.0, 7.0]",inv-sim
year-start,year,start,"[0.0, 1.0, 2.0, 0.0, 1.0, 3.0, 1.5, 0.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 2.0, 3.0, 0.0, 2.0, 0.0, 5.0, 0.0, 2.0, 2.0, 3.0, 6.0, 0.0, 0.0, 0.0, 3.0, 1.0, 2.0, 5.0, 3.0, 3.0, 6.0, 6.0, 2.0, 5.0, 1.0, 3.0, 4.0, 0.0, 7.0, 8.0, 1.0, 2.0, 0.0, 2.0, 4.0, 3.0]",inv-sim
